"time","temp","ocheat","ocheat.mixed","ocheat.interior","ocheatflux.mixed","ocheatflux.interior"
1798,0.00391727456240018,0.561823146615103,0.047831292271492,0.513991854343611,-0.0282063416718871,-0.0583288850744241
1799,-0.00133106994113424,0.449432618275994,0.0154701819261478,0.433962436349846,-0.0283168108270893,-0.0737134908227097
1800,-0.00549280804494992,0.333601523342114,-0.0128858324284263,0.34648735577054,-0.0248122479642985,-0.0805715412050198
1801,-0.0050527275948955,0.254959130013559,-0.0241987016712887,0.279157831684847,-0.00989905398310353,-0.0620158734151332
1802,-0.00737643985452432,0.190703085960709,-0.0313087159193118,0.22201180188002,-0.00622144686293634,-0.0526360612031511
1803,-0.0133482290852155,0.0749487525232197,-0.0581157337289638,0.133064486252184,-0.0234568358147681,-0.0819275873622872
1804,-0.018383377645821,-0.0717309089070879,-0.0913608415056307,0.0196299325985428,-0.0290903315056836,-0.104482290879302
1805,-0.0225572595074378,-0.218135285658005,-0.119010460280108,-0.0991248253778973,-0.0241941335115734,-0.109382624311117
1806,-0.0283012120041728,-0.382083589094153,-0.149779320799744,-0.232304268294409,-0.0269235509351115,-0.122668912123847
1807,-0.0340875857419093,-0.570220948888691,-0.185361660145992,-0.3848592887427,-0.0311354697444101,-0.140515367744514
1808,-0.0391073932724734,-0.764951668663094,-0.218504455326419,-0.546447213336675,-0.0290008053305297,-0.1488353944739
1809,-0.0434382924395048,-0.958593405355835,-0.247628815089861,-0.710964590265973,-0.0254845701238477,-0.151533654229484
1810,-0.0472311399872464,-1.14946300195227,-0.273382740909249,-0.876080261043021,-0.0225353530116868,-0.152084730685629
1811,-0.0501849087761829,-1.33343182236478,-0.295099831553849,-1.03833199081093,-0.0190030175397356,-0.149446812097866
1812,-0.0521369323770518,-1.50402723323812,-0.311337002520596,-1.19269023071753,-0.0142079457016724,-0.142176276999172
1813,-0.0533846309021657,-1.65937327559032,-0.322563587230601,-1.33680968835972,-0.00982355277909221,-0.132745540135124
1814,-0.0543474108158053,-1.80292626270002,-0.330868879896985,-1.47205738280303,-0.00726734647816035,-0.124573937097933
1815,-0.0543598279201024,-1.93136198295493,-0.335273903749005,-1.59608807920593,-0.00385451011338424,-0.11424218531417
1816,-0.0521425222808762,-2.02672398956346,-0.329870081999657,-1.6968539075638,0.00472848417704604,-0.0928133822550086
1817,-0.0504554004570704,-2.09734865421018,-0.319718325315092,-1.77763032889509,0.00888305038151529,-0.0744015406054653
1818,-0.0495781950608571,-2.16672750061364,-0.313585549852719,-1.85314195076092,0.00536633758112073,-0.069552239475843
1819,-0.0487273580976012,-2.23399540159922,-0.309261427131766,-1.92473397446746,0.00378371952555647,-0.0659419762728058
1820,-0.0485628402123242,-2.30154801733002,-0.306855066040477,-1.99469295128954,0.00210562836307245,-0.0644378095607628
1821,-0.0483837619680459,-2.37098112797497,-0.306302188484823,-2.06467893949015,0.000483782199897649,-0.0644626891994316
1822,-0.0476299467247889,-2.43304293858471,-0.303766073419166,-2.12927686516554,0.00221916645577304,-0.0594998529392079
1823,-0.0464023018653772,-2.48313693009519,-0.298171680922987,-2.1849652491722,0.00489523852291381,-0.051293452911602
1824,-0.0440900722475622,-2.51492586519494,-0.287920269205117,-2.22700559598982,0.00897025112017812,-0.0387225197559972
1825,-0.0402236856038079,-2.51657483642857,-0.269714501200415,-2.24686033522815,0.0159305191648089,-0.0182878018523854
1826,-0.0346750420158027,-2.47880214958923,-0.241870383389305,-2.23693176619993,0.0243643252128962,0.00914500567780733
1827,-0.0276093150875825,-2.39685538666698,-0.204471844884931,-2.19238354178205,0.0327246911103082,0.0410324754835899
1828,-0.0196575012297438,-2.27301017171459,-0.159827056854767,-2.11318311485982,0.0390653473745081,0.0729499237835413
1829,-0.0119587018930982,-2.11977981633131,-0.113142989330469,-2.00663682700084,0.040849769819928,0.0981376474948116
1830,-0.00404878923731878,-1.94362580215569,-0.0660948743555902,-1.8775309278001,0.0411683207806393,0.118916852758228
1831,0.0010968027405321,-1.76854350359662,-0.0265172135717956,-1.74202629002482,0.0346314796196312,0.124810602444472
1832,0.00477216513940146,-1.61484993828011,0.000910867730584547,-1.61576080601069,0.0240002824779856,0.116300603333463
1833,0.00769721560044675,-1.47415174629953,0.0224472752290263,-1.49659902152856,0.0188449151008881,0.109757528256993
1834,0.0122075890131512,-1.32508143392544,0.0467245552410178,-1.37180598916646,0.0212432496338849,0.114944357667057
1835,0.021482075150052,-1.11834650830625,0.0901330205913568,-1.2084795288976,0.0379835329660329,0.150436724793772
1836,0.0359356251935473,-0.811498450950603,0.162734855609195,-0.974233306559798,0.0635284885456799,0.215759494363653
1837,0.0490473427419128,-0.439188768214983,0.245454481451861,-0.684643249666844,0.0723818179190306,0.266735589690153
1838,0.0567201141987768,-0.085834986185498,0.307669336636619,-0.393504322822117,0.0544396118087777,0.268162222718828
1839,0.062269184781316,0.227542040884122,0.349213803973794,-0.121671763089672,0.03635248636233,0.250379515426593
1840,0.0656910505167516,0.511269310182417,0.379222311769474,0.132046998412943,0.0262582225821483,0.233695259398603
1841,0.0666413711695395,0.753217734392528,0.395323557706997,0.357894176685531,0.01408900777593,0.208023303433598
1842,0.0671828208823844,0.961545455749416,0.403001772635822,0.558543683113594,0.00671863719473855,0.184814233583687
1843,0.0668508404625604,1.1460752517427,0.406598233483258,0.739477018259446,0.00314699651455317,0.166654063894793
1844,0.0673015532234495,1.31695260819893,0.40954938382321,0.907403224375717,0.00258233308458587,0.154673458382622
1845,0.0696463870692173,1.50000781626966,0.420295329969082,1.07971248630057,0.00940298157027045,0.158710603125408
1846,0.072844118628031,1.7020937127965,0.438550634599781,1.26354307819672,0.0159738649972731,0.169322668943128
1847,0.0775494425257744,1.92654452756927,0.463532034910757,1.46301249265852,0.0218593731566277,0.183727274556547
1848,0.0842160658808676,2.18756753934838,0.498923514835569,1.68864402451281,0.0309684628007773,0.207824675845465
1849,0.0895107156305877,2.46590195180015,0.53558975812774,1.93031219367241,0.0320839138077908,0.222595700631918
1850,0.0904192177084877,2.70784859339277,0.554813767802885,2.15303482558988,0.0168215070342153,0.205145346491683
1851,0.0917293789348653,2.91800674399488,0.563447670859151,2.35455907313573,0.00755488909171153,0.185619940072306
1852,0.0924454635997883,3.11960185286598,0.571926496777661,2.54767535608832,0.00741919257429972,0.177875532622895
1853,0.091822978336953,3.29752269523864,0.573903184275354,2.72361951096328,0.00172965282523068,0.16205863007395
1854,0.089308533900494,3.4392879809108,0.566104731912401,2.8731832489984,-0.00682384806791923,0.13776015754507
