"time","temp","ocheat","ocheat.mixed","ocheat.interior","ocheatflux.mixed","ocheatflux.interior","gmsl"
1895,0.0840716440537304,10.0207625991703,0.976410022516684,9.04435257665363,0.0272434748471584,0.238814109148438,65.2454987443542
1896,0.0870399347807368,10.2963923039307,0.999417630763315,9.29697467316738,0.0201322539106681,0.232685143286064,67.2238745174434
1897,0.0862931671243956,10.5321664454763,1.00745303402197,9.52471341145433,0.00703118624690152,0.20976558140156,69.2123424790044
1898,0.0867624777482274,10.7410958399504,1.00876461494319,9.73233122500719,0.00114766732149222,0.191232601431042,71.1982714305338
1899,0.0861699229123125,10.9410284695362,1.01047896622305,9.93054950331316,0.00150010183102869,0.182574878152162,73.1857960381843
1900,0.0853148459795972,11.1208621827693,1.00755042553151,10.1133117572378,-0.00256254905585189,0.16833864427776,75.1713059593927
1901,0.0832120743899992,11.2787229587876,1.00002382915767,10.2786991296299,-0.00658596702695036,0.15233498959061,77.1539086190298
1902,0.0681824723716783,11.3034709803504,0.948567259292234,10.3549037210581,-0.0450258331417266,0.0701905198327145,79.1293618552623
1903,-0.0282739223677676,10.4811695627475,0.607700399422578,9.8734691633249,-0.298267342657533,-0.443439709332506,81.0537144446325
1904,-0.0464357492650823,9.44835447294147,0.279758812297038,9.16859566064443,-0.28695739379367,-0.649244837380371,82.6501152918886
1905,-0.0266234557815175,9.20092782910652,0.299482751998226,8.9014450771083,0.0172589587725261,-0.246067041113641,84.1847659276938
1906,-0.0028741038258705,9.32345074518535,0.415775975165377,8.90767477001997,0.101759586298325,0.00573804511872292,85.7867783613432
1907,0.00618746513317438,9.48456162360659,0.499122165829547,8.98543945777704,0.0729300783876031,0.0716274932520192,87.4695385916417
1908,0.0180035641300628,9.64118971903329,0.555300603612856,9.08588911542044,0.0491575900299791,0.0925221637550532,89.183108156401
1909,0.029900956144766,9.87361087867546,0.625009053752257,9.2486018249232,0.0609967017380483,0.149871411280347,90.9368524577497
1910,0.03863776872921,10.1226524345037,0.684888206339112,9.43776422816462,0.0523958114599216,0.174233693370412,92.7310478919484
1911,0.0454771816734535,10.3640635341616,0.731051288332909,9.63301224582867,0.0403938939691493,0.17983903068434,94.5549484889343
1912,0.0277446510526731,10.3991218993067,0.696696166523102,9.70242573278363,-0.0300616225725356,0.0639353697914571,96.4021030899305
1913,0.0203481269192096,10.2884142723922,0.624970809292725,9.66344346309947,-0.0627615477504841,-0.0359057862801754,98.1889670868161
1914,0.0329386845082351,10.3838932465654,0.647537770639374,9.736355475926,0.0197466764451501,0.0671577917606739,99.9506829016479
1915,0.0508968902133173,10.6957032015756,0.738459861921027,9.95724333965457,0.0795591879064282,0.203455378334407,101.755206612282
1916,0.0662514540808579,11.0883168814241,0.83420731351257,10.2541095679116,0.0837815033217396,0.27343752510981,103.620788222314
1917,0.0808109162251717,11.5145882338698,0.922154047249121,10.5924341866207,0.0769556728895297,0.311624016536697,105.538575349496
1918,0.0928417062363015,11.9595635233335,1.00223849895467,10.9573250243788,0.0700759722066663,0.336093627751636,107.505864647968
1919,0.104137518855586,12.4110579412203,1.07372669411903,11.3373312471013,0.0625540247920012,0.35001610549518,109.514058632478
1920,0.109635913876535,12.8312432463119,1.12601250453318,11.7052307417787,0.0457514401279362,0.338864841259947,111.560658379893
1921,0.117401240359036,13.2332088956578,1.16903592230717,12.0641729733507,0.0376466063506366,0.330614485974718,113.62595267038
1922,0.115550051102675,13.5754427423045,1.18946338573539,12.3859793565692,0.0178745602793376,0.296409401326801,115.717649070907
1923,0.111139242302272,13.8055309640583,1.17359974364865,12.6319312204097,-0.0138810982443092,0.226541325834048,117.803051427963
1924,0.112481647405667,14.0356372658852,1.16958925304075,12.8660480128444,-0.00350928329269098,0.215640279077476,119.873457035097
1925,0.116247004605765,14.3132678886016,1.18819831411601,13.1250695744856,0.0162834110608284,0.238579562185602,121.948426819583
1926,0.120462763291757,14.6130986192794,1.21334384122199,13.3997547780574,0.0220029883588249,0.253007028418014,124.036198818549
1927,0.125989050302202,14.9346810672262,1.24379687305265,13.6908841941735,0.0266471926413486,0.268153462577556,126.138304397047
1928,0.1257865496025,15.227086224572,1.26043896912231,13.9666472554497,0.0145622656683192,0.253999821518226,128.259199351381
1929,0.105615510250647,15.2992235656441,1.19887649686046,14.1003470687836,-0.0538687598318927,0.123148214872123,130.379405803336
1930,0.106780608526767,15.3417491263262,1.14780835401856,14.1939407723076,-0.0446859494224042,0.0862072820062001,132.431030721495
1931,0.119104006726962,15.6169405808292,1.19358560183722,14.423354978992,0.040056279059418,0.211308821717862,134.486616973792
1932,0.126286040922257,15.9593204898879,1.24905803476843,14.7102624551194,0.0485398174743867,0.264264718383093,136.584102779971
1933,0.133432554846238,16.2965286628089,1.29027503139404,15.0062536314149,0.0360659409968612,0.272631532309254,138.706007502413
1934,0.142349435507718,16.6725589079331,1.33952315982675,15.3330357481063,0.0430933896128789,0.300992449571941,140.852210372196
1935,0.152122602218375,17.0910755987339,1.39663034347139,15.6944452552625,0.0499702667453709,0.332887044000174,143.028730636229
1936,0.165067202496012,17.567674677703,1.46614646959258,16.1015282081104,0.0608284132342517,0.374955938217271,145.238479667078
1937,0.17374743110218,18.0631645301494,1.53185488983506,16.5313096403143,0.0574965718387618,0.395863052021681,147.492240338871
1938,0.184758958358037,18.5677744147239,1.59276052360317,16.9750138911207,0.0532940091149752,0.408687080822735,149.775513787925
1939,0.192623681990903,19.0843441379213,1.65185475309844,17.4324893848229,0.051708983398057,0.421371496282273,152.096226429649
1940,0.197983655761552,19.5680138006107,1.6937521679445,17.8742616326662,0.0366613245861839,0.406907551666295,154.443679131724
1941,0.201300006364317,20.0183421388841,1.723028113645,18.2953140252391,0.0256172117501094,0.387822908798674,156.80935574462
1942,0.202780406293425,20.4316166309222,1.74083751658879,18.6907791143334,0.0155836894569111,0.364254957069971,159.186307949565
1943,0.203075101469267,20.8092346893348,1.7495891277031,19.0596455616317,0.00765788669522413,0.339755481913493,161.56829351427
1944,0.206294799419442,21.1884215883894,1.76377305599503,19.4246485323944,0.0124113051110236,0.336196911211751,163.951281042572
1945,0.21714955559715,21.6495523549333,1.80954710267736,19.8400052522559,0.0400534779821106,0.382576738969238,166.345215543904
1946,0.227846492801483,22.1858052057636,1.87566072468549,20.3101444810781,0.0578511338924775,0.433035808555804,168.776056216241
1947,0.237451140664652,22.7382802194851,1.93717353143693,20.8011066880482,0.0538253012222289,0.452215435836425,171.243266475073
1948,0.247531041736468,23.3096178168753,1.99826243935002,21.3113553775253,0.0534543787449905,0.469979827817857,173.743132536639
1949,0.256251352173247,23.8921429758253,2.05709144720264,21.8350515286227,0.0514769075823031,0.482366014842335,176.277270261849
1950,0.257339526659473,24.4126958983859,2.08851803754636,22.3241778608395,0.0274990815891965,0.450524448444953,178.841057042545
1951,0.255559835213435,24.8426906694048,2.08980992902972,22.7528807403751,0.00113043855272589,0.394869618804105,181.408543616494
1952,0.254219839657734,25.2313950569207,2.08521321521437,23.1461818417064,-0.00402224380271708,0.362261751370046,183.969979239526
1953,0.249393507028223,25.5690044565998,2.07023931291719,23.4987651436826,-0.0131025528533341,0.324757403539904,186.526858877669
1954,0.245209055004307,25.8567564089544,2.04637819425348,23.8103782147009,-0.0208790976611325,0.287020546026419,189.067328984871
1955,0.24610575331379,26.1663170072604,2.04004467362132,24.1262723336391,-0.00554199481094353,0.290963733350034,191.593571955192
1956,0.254030998096108,26.5643740218931,2.0689381413574,24.4954358805357,0.0252825336117891,0.34002913439111,194.122863699766
1957,0.264838190908002,27.0563145328843,2.12569464618845,24.9306198866958,0.0496634136887428,0.400839254469793,196.679101276599
1958,0.272186636050503,27.5713953372978,2.17949496765095,25.3919003696469,0.0470766765735872,0.424876195517941,199.272083308993
1959,0.272117936137409,28.0192542266628,2.20129318312971,25.8179610435331,0.0190740038735785,0.392435936206321,201.890050054871
1960,0.270881840022167,28.3970955194257,2.19980051911152,26.1972950003142,-0.00130611972767654,0.349396894828117,204.507783221044
1961,0.267123677225803,28.7273629060895,2.18808413423112,26.5392787718583,-0.0102521406309963,0.314994388778392,207.121313660426
1962,0.261441703244662,28.9972994220354,2.16237843335317,26.8349209886822,-0.0224931549372342,0.272310112743171,209.722066346301
